index,year,iso_code,population,gdp,renewables_electricity,fossil_fuel_consumption,greenhouse_gas_emissions,energy_per_gdp
881,1991,BWA,1341767.0,7315023272.0,0.0,0.0,0.9700000286102296,1.280846357345581
882,1992,BWA,1380038.0,7702501132.0,0.0,0.0,0.9700000286102296,1.4755312204360962
883,1993,BWA,1420120.0,8026901258.0,0.0,0.0,0.9700000286102296,1.373868703842163
884,1994,BWA,1460030.0,8505234702.0,0.0,0.0,0.9700000286102296,1.2906949520111084
885,1995,BWA,1498842.0,9306926237.0,0.0,0.0,0.9700000286102296,1.1937335729599
886,1996,BWA,1535917.0,10069439768.0,0.0,0.0,0.9700000286102296,1.045355200767517
887,1997,BWA,1571700.0,11122733889.0,0.0,0.0,0.9700000286102296,0.9753689169883728
888,1998,BWA,1606906.0,11452605950.0,0.0,0.0,0.9700000286102296,1.0155410766601562
889,1999,BWA,1642006.0,12841571074.0,0.0,0.0,0.9700000286102296,0.8568779826164246
890,2000,BWA,1677384.0,13391002424.0,0.0,0.0,0.9700000286102296,1.070195555686951
891,2001,BWA,1712264.0,13725120137.0,0.0,0.0,0.959999978542328,1.094645857810974
892,2002,BWA,1744765.0,14885467195.0,0.0,0.0,0.9800000190734864,1.0478607416152954
893,2003,BWA,1775744.0,15922248755.0,0.0,0.0,0.8899999856948853,0.9993370175361632
894,2004,BWA,1807153.0,16720998899.0,0.0,0.0,0.8199999928474426,0.9533020853996276
895,2005,BWA,1839881.0,17874650435.0,0.0,0.0,0.9100000262260436,0.943243145942688
896,2006,BWA,1874526.0,19804034564.0,0.0,0.0,0.8500000238418579,0.9056827425956726
897,2007,BWA,1911200.0,21924081026.0,0.0,0.0,0.7099999785423279,0.8416898250579834
898,2008,BWA,1949973.0,23814412331.0,0.0,0.0,0.6000000238418579,0.8055123686790466
899,2009,BWA,1990671.0,22485468865.0,0.0,0.0,0.5299999713897705,0.8017710447311401
900,2010,BWA,2033110.0,24958864035.0,0.0,0.0,0.449999988079071,0.7459664940834045
901,2011,BWA,2073538.0,27061119164.0,0.0,0.0,0.4099999964237213,0.7216690182685852
902,2012,BWA,2108617.0,27014847416.0,0.0,0.0,0.2800000011920929,0.7143867611885071
903,2013,BWA,2140687.0,30014304729.0,0.0,0.0,0.7599999904632568,0.6382337808609009
904,2014,BWA,2172053.0,31724220202.0,0.0,0.0,1.9700000286102293,0.606419026851654
905,2015,BWA,2203276.0,30185273524.0,0.0,0.0,2.5199999809265137,0.7766342163085938
906,2016,BWA,2234784.0,32359220755.0,0.0,0.0,2.309999942779541,0.7975230813026428
907,2017,BWA,2266749.0,33690154993.0,0.0,0.0,2.5899999141693115,0.7020500898361206
908,2018,BWA,2299149.0,35101769105.0,0.0099999997764825,0.0,2.6600000858306885,0.6679556369781494
909,2019,BWA,2332082.0,36166405883.0,0.0099999997764825,0.0,2.140000104904175,0.6308351755142212
910,2020,BWA,2365895.0,33010529929.0,0.0099999997764825,0.0,1.850000023841858,0.6660042405128479
911,2021,BWA,2401448.0,36918974292.0,0.0099999997764825,0.0,2.109999895095825,0.6283509135246277
912,2022,BWA,2439895.0,39293967463.0,0.0099999997764825,0.0,2.1700000762939453,0.7452487349510193
913,2023,BWA,2480242.0,39293967463.0,0.0099999997764825,0.0,2.759999990463257,0.7452487349510193
914,2024,BWA,2521145.0,39293967463.0,0.0099999997764825,0.0,2.9200000762939453,0.7452487349510193
915,1990,BRA,149143223.0,1185475140000.0,210.5670623779297,859.2708740234375,31.209999084472656,1.3184354305267334
916,1991,BRA,151724253.0,1213090136106.0,221.7816162109375,888.1356201171875,31.209999084472656,1.338764190673828
917,1992,BRA,154275077.0,1221828516629.0,228.2723693847656,897.3531494140625,31.209999084472656,1.3521567583084106
918,1993,BRA,156794574.0,1298220757545.0,240.04893493652344,940.2603149414062,31.209999084472656,1.3327900171279907
919,1994,BRA,159265011.0,1391783970549.0,248.09332275390625,988.3489990234376,31.209999084472656,1.2982646226882937
920,1995,BRA,161735079.0,1468835128486.0,259.49884033203125,1050.2279052734375,31.209999084472656,1.3024134635925293
921,1996,BRA,164202549.0,1520364859776.0,272.4905090332031,1126.51416015625,31.209999084472656,1.3356211185455322
922,1997,BRA,166661662.0,1591956040321.0,286.35546875,1205.24462890625,31.209999084472656,1.3500399589538574
923,1998,BRA,169159651.0,1617675773756.0,298.9794006347656,1258.3861083984375,31.209999084472656,1.38435161113739
